steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
504379	1	395.63056922	20370.2821198	20370.2668397	1.71186284913	20372.4378533	20366.1089552	7.32353646389e+12	1.39269076043e-09
505393	2	398.970105171	20370.7035924	20370.8969142	0.76655409114	20371.5453958	20369.5092366	7.31378726806e+12	1.58403338725e-09
548084	5	406.633965015	20371.0335129	20370.7375558	0.778424664801	20372.3846088	20370.1036549	7.32276317908e+12	1.41953242504e-09
510116	3	432.035081148	20370.7098764	20370.8817851	1.13215573006	20372.5271595	20368.299703	7.32351771987e+12	1.35119202859e-09
545380	4	477.008378029	20369.9956221	20371.0634245	2.95426161295	20371.9305144	20361.9839557	7.3186174187e+12	1.49292404264e-09
631153	13	485.468818188	20370.5698613	20370.4755739	1.30763394002	20372.3313721	20367.9589537	8.64638517645e+12	9.30831478324e-10
715536	31	487.292201042	20370.1305982	20370.5113252	1.4777900333	20372.7398154	20367.4706719	1.29269146516e+13	1.29804205873e-09
984008	34	570.469440222	20370.8453037	20370.844519	0.795860104471	20372.0234831	20369.6101329	1.73354595547e+13	8.14332041124e-10
975471	33	577.351578236	20370.4918894	20371.0548272	1.54220600898	20372.1150383	20367.8336756	1.73594649795e+13	5.56792641152e-10
1035458	36	626.402268171	20370.7572437	20371.0747994	1.17564948873	20371.9494691	20368.5842622	1.78357071753e+13	7.14681232648e-10
1121211	41	697.529175043	20370.1222507	20369.7334398	1.57720054135	20372.9389591	20368.4702616	2.00466231729e+13	9.35753217997e-10
1357024	58	754.261288166	20370.4661153	20370.6614584	1.01539915582	20372.0015599	20368.7516558	2.79966314101e+13	8.02803019143e-10
1217280	51	756.963652134	20371.1849915	20371.2645753	0.945202264584	20372.3017189	20369.6835666	2.38537242529e+13	1.38160923547e-09
1452349	59	801.84602809	20370.2803058	20370.7102816	1.46408732087	20372.2999525	20367.4192896	2.80974336988e+13	7.44517951878e-10
1536588	60	827.330956221	20370.5290498	20371.1210463	1.26020313089	20371.8152582	20368.2375233	2.89364141949e+13	8.12231965795e-10
1716471	75	900.256866217	20370.6581871	20370.9041319	1.26639828406	20372.5264905	20368.5152057	3.32618344911e+13	9.30053720695e-10
