steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
1384411	6	985.862334013	57385.3905814	57383.9481911	4.89805380653	57393.9641433	57379.1168172	1.86137171536e+13	6.02088900008e-23
1325460	1	1007.80829096	57389.6651423	57390.605661	5.80277125519	57397.169775	57380.5017496	1.85988430903e+13	9.73402351972e-23
1336612	3	1009.12423992	57388.4045708	57390.5072771	5.42828236585	57395.0168062	57377.2188252	1.86168014126e+13	5.61658336563e-23
1395494	7	1009.76624608	57386.5712868	57387.7512591	5.23512027221	57393.3747771	57376.2083524	1.86022966938e+13	8.54700890809e-23
1332759	2	1019.26082397	57384.460914	57384.0614918	5.3564076106	57393.2475479	57374.4559286	1.86064804656e+13	7.56474701922e-23
1444199	10	1023.10252094	57389.1723908	57389.014409	4.25606319031	57395.9302995	57382.6616633	1.8614067875e+13	6.10013574944e-23
1360159	5	1027.81894803	57388.2682793	57388.2987132	4.00405111248	57394.8440799	57382.4999587	1.86148760624e+13	5.5940910531e-23
1494175	12	1046.999547	57387.6545925	57386.5216975	3.94834906057	57393.6809077	57382.7865007	1.86186905849e+13	4.91050460438e-23
1425261	8	1063.71256709	57387.4196775	57386.7258922	4.82264652355	57394.5430606	57378.4161932	1.86228110861e+13	4.60121741156e-23
1528100	13	1063.78719497	57390.5903636	57391.1033098	4.61220749281	57397.2985105	57383.4866529	1.8601934054e+13	9.17559636196e-23
1473231	11	1081.87897801	57387.0336252	57388.7807069	5.21016211355	57394.8685665	57380.5221152	1.86148432981e+13	5.53810128735e-23
1433124	9	1090.24221206	57386.8337226	57388.2629461	4.23616843649	57391.7452256	57377.4730296	1.86114678708e+13	6.17154243597e-23
1343992	4	1098.22914505	57386.1613316	57389.2804553	10.7497853309	57397.5132874	57361.0348792	1.86194347629e+13	4.64674519386e-23
1544356	15	1116.28154993	57389.5987508	57390.2356373	3.75737774074	57395.2125097	57383.164519	1.85966109776e+13	9.47680558138e-23
1528716	14	1239.58624506	57387.0630979	57388.7626004	5.08419415792	57392.2588157	57376.7209846	1.86160478166e+13	5.11090121049e-23
1601375	25	1296.67911792	57386.1328105	57385.9164399	5.32269266647	57393.2429005	57378.2254313	2.0730690875e+13	5.91742888399e-23
2228279	33	1545.42173004	57390.8619809	57390.2164609	3.27182660921	57395.9445705	57386.2212795	3.88283493219e+13	1.69671512708e-23
2511121	41	1644.57417703	57387.3156566	57387.4058371	5.82005239974	57396.5429433	57378.7081834	5.52842074298e+13	1.91317540767e-23
2488125	39	1728.70188403	57389.5623214	57388.830784	4.39563999926	57395.1099582	57382.4601818	5.45561012331e+13	4.93304170176e-23
2447358	36	1761.29472303	57385.3646128	57387.5805817	7.84158863084	57396.6385946	57373.4926669	5.29483420578e+13	2.01510575832e-23
2456254	38	1800.4807539	57389.4010263	57390.1212494	4.59840817606	57396.730639	57380.1030942	5.33528280912e+13	2.58209976432e-23
2436525	34	1808.15714693	57387.1573773	57387.3782217	6.37272965582	57394.8513625	57374.8718916	5.23883540444e+13	3.10773684623e-23
2490975	40	1824.01174188	57384.5654855	57384.5288163	5.54697716904	57392.0258071	57373.2769084	5.46966401772e+13	2.85805428361e-23
2440331	35	1841.00398493	57389.0173581	57389.166307	4.06082765147	57394.8098818	57383.2847632	5.27569267099e+13	2.05390129281e-23
2450227	37	1851.71324587	57389.1909373	57389.0055866	5.80678221892	57398.0214409	57378.9353782	5.28521062298e+13	4.86676207745e-23
2656487	47	1853.23983288	57388.9287652	57390.0127488	5.05574260066	57395.6566645	57381.1213123	6.08480689325e+13	1.99096198781e-23
3053014	49	1937.3775239	57385.8048685	57386.3925251	4.3989363549	57394.0278643	57380.2493177	6.56879246058e+13	1.52459547421e-23
3073792	50	1939.04584789	57387.5415921	57387.3412564	4.45756673672	57395.9942463	57381.8328557	6.56677487599e+13	2.45089964664e-23
3159968	52	1997.90493488	57386.758873	57387.6928499	3.53262425933	57390.7263252	57381.1594709	6.56705183547e+13	2.4761688889e-23
3137744	51	2018.74522305	57388.8668821	57388.6847155	5.69823272335	57398.0102742	57381.0319447	6.56650508358e+13	3.19300757173e-23
3183920	53	2048.86390305	57387.8818466	57391.1374299	6.41375125164	57394.958177	57377.4546296	6.56784392157e+13	2.16777122219e-23
3240686	54	2166.23745108	57388.5626797	57389.6531167	5.21182017634	57394.7221782	57379.2590023	6.56759029309e+13	2.12191001356e-23
3342590	56	2187.78306293	57388.0851801	57387.9748305	5.96162397893	57397.2632056	57375.973498	6.7913170156e+13	2.43806296657e-23
3412935	57	2359.6659379	57384.5103996	57385.2549932	8.18195954713	57394.8577727	57372.5806053	6.79575139861e+13	1.35239563101e-23
3828227	70	2404.45573688	57385.6845905	57389.851016	10.5275597861	57392.3071841	57358.0305483	8.50562236743e+13	2.17272127805e-23
3571302	65	2443.74973702	57386.6920932	57388.8808954	6.56737944954	57395.8639191	57375.721046	7.60548468252e+13	2.35722362728e-23
3630187	66	2469.64808702	57387.0162766	57387.5679962	5.77232081565	57394.3837312	57374.0703421	7.71436892094e+13	1.76712094844e-23
3739903	69	2579.71516895	57388.750603	57389.4290455	4.0280351214	57394.7251252	57382.0509302	8.19853708575e+13	3.53274135596e-23
4288394	72	2623.10140991	57388.9147805	57389.7961257	3.36388617319	57392.4798193	57380.8829495	8.97967133859e+13	2.8578163122e-23
4183846	71	2628.41447401	57388.3804987	57390.4338736	5.43564128302	57394.1849489	57374.9241591	8.9454096683e+13	1.88533842156e-23
4295335	74	2633.71187997	57385.1455851	57385.3920397	4.10309387505	57391.9425296	57380.0185084	8.97910575935e+13	2.94022557957e-23
4289678	73	2799.91877007	57388.4940959	57388.7283847	4.66320813049	57398.2840907	57381.0561325	8.98131117588e+13	1.84547961719e-23
4358420	75	2807.54516888	57389.404824	57390.0185024	2.72626059641	57393.4685037	57384.6972215	8.9795591305e+13	2.46362629517e-23
4587724	81	2818.40095901	57387.8795901	57388.4934422	4.24700209424	57393.695962	57381.2591424	9.53376228822e+13	3.24659561867e-23
4438234	79	2838.20333505	57389.4827434	57388.9895133	2.90121386806	57393.6066544	57384.9637929	9.29127250212e+13	2.13364608291e-23
4802503	85	2959.438555	57387.7624797	57387.7630159	4.05520068726	57393.6169267	57379.9048495	9.68578053119e+13	2.38758131989e-23
4749291	83	2962.18654704	57391.1809188	57391.9596014	5.47661676821	57396.8160708	57382.8757498	9.53688265016e+13	2.13399278729e-23
4740563	82	3019.99228096	57387.7198627	57389.2757088	6.14587887371	57394.3589083	57373.2849837	9.53766953625e+13	1.73655759252e-23
5029939	93	3127.50212288	57386.2538169	57388.1451011	7.35292650116	57394.2755432	57368.1205141	1.04393835865e+14	3.90636370276e-23
4955664	92	3151.140347	57389.6124429	57390.513165	5.70045583301	57395.8277113	57379.453103	1.03240127383e+14	2.95858501124e-23
5225479	96	3168.09356499	57387.7256592	57386.8622912	3.86934532998	57395.3113161	57382.9767121	1.05897140618e+14	3.16358408134e-23
5194530	94	3238.04169893	57385.6269747	57385.2047798	5.47952583496	57393.9267061	57376.765654	1.05141521819e+14	4.31588623929e-23
5323208	98	3280.45175195	57389.105061	57390.0145618	6.03107880512	57397.6351911	57376.5881305	1.09013033739e+14	2.05831896087e-23
5529698	101	3421.77385306	57387.6631715	57387.5032012	3.79275843747	57393.0477644	57382.4385514	1.10585480348e+14	2.6347125592e-23
5778821	102	3423.22304702	57387.053269	57389.2222507	6.74887619363	57394.4268821	57374.3775542	1.13797125869e+14	3.06853586265e-23
5820328	104	3545.86612201	57388.9520869	57388.0136656	4.56343170365	57396.9334208	57381.5549187	1.1380371743e+14	2.78905085491e-23
5861189	105	3554.38657999	57386.5871475	57387.2482607	5.91621367658	57395.5218591	57377.3979971	1.13784892861e+14	3.69197414014e-23
5819063	103	3554.46589088	57385.6705942	57389.6233557	6.93544352933	57392.0791562	57372.4790376	1.13803989011e+14	2.90712503909e-23
5918231	107	3620.69073105	57388.6308852	57387.9940393	5.26538655793	57400.5846113	57383.2647034	1.15211630219e+14	1.65719959996e-23
6000073	110	3712.31440997	57386.9047889	57388.6315462	3.68135266913	57390.4995273	57378.727401	1.17146761141e+14	3.52116955813e-23
6337315	120	3727.14586186	57387.5605539	57385.5118969	4.51902583938	57395.7801996	57381.9450392	1.25551944795e+14	1.7127675854e-23
