steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
1365588	1	1012.08100414	58338.9331679	58340.0488317	6.24821826439	58345.352599	58327.9609083	1.89749015558e+13	1.01948055814e-22
1465096	8	1027.01583409	58341.7485792	58346.2919568	14.8413572815	58363.991876	58317.2060753	1.89529735033e+13	1.45272091013e-22
1509955	12	1034.39341402	58344.2745897	58347.3711439	12.2372597469	58357.6925723	58324.1799243	1.89707173689e+13	1.06712009401e-22
1427599	4	1059.62213993	58338.9553612	58339.3832552	4.4068971565	58348.0964643	58333.8377824	1.89614903987e+13	1.28867249024e-22
1365885	2	1070.67277312	58336.6825808	58341.6883206	13.3919025908	58352.5915625	58315.9747536	1.89628744967e+13	1.30539742216e-22
1447022	7	1071.04197812	58333.1311381	58337.0307364	19.1341250637	58358.1135616	58291.2570409	1.8976094412e+13	1.00227211461e-22
1431698	5	1077.06366396	58342.6362442	58343.8360961	10.0417000923	58355.1976537	58329.7905084	1.89505346425e+13	1.57900459618e-22
1416507	3	1088.50925303	58337.0308562	58340.1158557	9.90671322374	58347.6170153	58319.7329233	1.89730038639e+13	1.00806192546e-22
1445817	6	1092.48944807	58333.7206411	58335.4438997	9.48060958826	58352.3660772	58321.4630656	1.89737896476e+13	1.02964668449e-22
1533280	14	1121.11277103	58338.7881137	58341.0784718	15.5492230444	58362.6074571	58312.1026223	1.89845930259e+13	8.23481824827e-23
1471467	9	1134.81236696	58342.6344772	58341.5454458	11.2990910154	58359.040516	58323.3460651	1.89499719638e+13	1.39286996069e-22
1505327	11	1154.98153615	58341.7283697	58341.0468546	11.0825758483	58360.0854779	58324.6006494	1.89687294275e+13	1.18979681091e-22
1521155	13	1175.93369508	58340.3844302	58340.4443703	9.67690608698	58358.5730814	58323.9419242	1.89853762052e+13	7.86165393144e-23
1473902	10	1194.76254606	58340.7228945	58344.994148	12.0037988547	58352.9751173	58320.0138906	1.89726068769e+13	1.13075868984e-22
1549048	15	1229.67041993	58331.8047297	58331.6099282	16.0529334413	58356.3394391	58305.3413946	1.8956930499e+13	1.26925136218e-22
1608083	25	1302.20882607	58343.7522579	58349.0187746	14.453439937	58362.3150405	58321.6553942	2.22033704263e+13	9.47742277584e-23
2265552	34	1569.07189608	58344.9588954	58343.7567365	5.95745689786	58354.2108291	58336.03515	3.88941083385e+13	4.46713263814e-23
2250180	33	1619.46752405	58340.3404975	58345.2733299	16.2969520974	58357.89205	58315.2382071	3.80268121638e+13	7.28617647624e-23
2406105	40	1636.80176497	58335.9641441	58340.8523154	23.6474159912	58360.6524419	58277.4054936	4.9027335853e+13	5.95826753515e-23
2289460	35	1657.69981813	58345.1126418	58347.080551	7.2373835216	58355.067833	58334.6532939	4.09645298183e+13	6.31814488676e-23
2350663	36	1742.83467603	58344.0442874	58350.3149583	18.5807024062	58360.18505	58303.0722252	4.39094328688e+13	5.30930787247e-23
2399152	39	1779.67849612	58332.9513869	58337.3078415	11.6901102027	58350.1932796	58312.9170624	4.81745028703e+13	4.01628159963e-23
2363164	37	1799.29292703	58330.0899939	58337.9612228	18.9486005847	58349.6373539	58296.5249298	4.49531076736e+13	9.17731542343e-23
2383805	38	1828.64665699	58340.7481116	58339.8778267	13.9509749407	58357.4749903	58309.8551853	4.71373597387e+13	5.57963676182e-23
2503398	43	1854.47290707	58340.0528607	58342.3808497	8.32365193372	58350.8886452	58326.7138759	5.48205844811e+13	6.43561873643e-23
3140882	50	2025.25068402	58338.8963711	58341.7120303	22.9694454722	58366.7283458	58282.7232308	6.81235492e+13	8.55595464278e-23
3131806	49	2107.09670496	58338.8432358	58342.6636134	17.1032615566	58360.275871	58299.1744828	6.81665188099e+13	5.90156620001e-23
3198016	51	2144.86996102	58338.8695092	58336.4749299	7.3692659234	58349.6005897	58327.5516911	6.8091650327e+13	1.05749034792e-22
3314953	53	2157.0774641	58340.0306339	58345.8247557	16.3695662952	58352.749922	58301.0039261	6.81148923822e+13	9.40951788379e-23
3283705	52	2158.60195494	58337.9255967	58340.5453353	12.9182151929	58359.5296052	58315.1645089	6.81664319898e+13	6.09742806663e-23
3330744	54	2164.58150816	58336.9629464	58336.6263311	11.5643025346	58357.0640048	58319.687786	6.84026050945e+13	6.64314510444e-23
3400616	55	2210.54213595	58335.4746749	58337.1903974	17.2648251574	58359.8157141	58305.3864674	6.94799281826e+13	4.89895450926e-23
3427554	56	2213.12582111	58335.9215023	58337.7245681	15.7016561195	58356.3542217	58307.6856059	7.02567822244e+13	7.18506458589e-23
3428935	57	2262.10598612	58338.0375949	58338.7957072	10.8220569385	58351.4912037	58319.9900164	7.02970385562e+13	8.27716319449e-23
3512750	60	2275.23052216	58340.3587488	58342.5236026	9.14857261178	58356.2788001	58325.1953222	7.46732227959e+13	6.04764330294e-23
3601794	67	2389.67119002	58343.314889	58343.8473683	9.84627445974	58356.7070025	58327.1808358	7.9847754461e+13	7.7519430814e-23
4235162	73	2563.63977313	58343.4113464	58343.8282923	12.6382159448	58359.7076593	58323.901151	8.92882213679e+13	7.26585535478e-23
3807694	70	2572.76449299	58339.5153382	58343.8993683	14.858367461	58354.2151211	58305.808885	8.72467711586e+13	6.43651761115e-23
3924892	71	2591.73061514	58343.6225138	58344.4479294	5.54221811386	58352.7284606	58334.3696087	8.82126268465e+13	7.3695607467e-23
4092172	72	2618.53665113	58342.8063645	58342.2625427	7.47457080581	58352.1836073	58330.8603344	8.81572432847e+13	9.973215666e-23
4335003	74	2698.12632394	58340.7848819	58341.7434039	10.4271437216	58356.2457161	58325.8512957	9.12208830435e+13	7.68756653408e-23
4405223	75	2754.29597211	58335.8714154	58332.6594033	8.7575557923	58354.9086391	58328.0473155	9.39988277788e+13	6.27105163402e-23
4421362	76	2948.31552601	58343.9127402	58343.3977032	10.3136331292	58360.8909439	58324.4433046	9.37993564038e+13	1.1764321912e-22
4429990	77	2952.96231008	58342.5092191	58347.5979636	17.296087905	58361.4315878	58301.8449437	9.39613045774e+13	6.76304443935e-23
4832904	89	2981.05133295	58340.10238	58339.9063793	7.63365374971	58352.9747766	58331.0772371	1.05659362912e+14	3.83419327061e-23
4557957	81	3018.01386404	58340.26514	58342.8961647	11.5486250735	58352.3949889	58310.6247432	9.87007790682e+13	1.06557239739e-22
4635894	83	3052.26909494	58339.6069544	58340.938509	12.3893295127	58361.6034802	58315.0250175	1.00966995955e+14	9.30085440739e-23
5251643	93	3086.20907116	58337.3001068	58340.007704	12.8650373903	58350.7298327	58314.5926247	1.10112193834e+14	3.59586975101e-23
4703249	87	3089.36660409	58340.68167	58342.3327489	12.2622595405	58356.2215786	58321.5064104	1.03471218598e+14	5.40698087255e-23
5247180	92	3102.10208917	58340.6980694	58344.866502	13.4696165921	58356.896181	58311.4083394	1.10051551623e+14	3.14957795915e-23
5145068	91	3126.459759	58338.4299515	58336.6367305	11.3191382098	58357.2672596	58316.4556641	1.07683949513e+14	5.18803082087e-23
5260343	94	3291.94577408	58342.4546078	58342.460385	7.86909819464	58361.2263561	58330.9779127	1.09994640187e+14	5.53741346624e-23
5400388	96	3298.58998013	58336.2339557	58339.2243566	17.3564850711	58354.4756039	58306.8994889	1.11690685196e+14	8.44284109359e-23
5607137	104	3379.69783306	58340.7891621	58344.6821696	14.1184026048	58354.9838145	58308.2790258	1.16308680478e+14	4.04315394159e-23
5506424	101	3435.24502015	58336.3880458	58337.5497471	17.760034235	58357.7027659	58300.1874935	1.1390425816e+14	8.58602775275e-23
5418732	97	3439.189955	58332.0790821	58331.7859569	16.8953067544	58356.9128677	58298.5576358	1.11700261662e+14	1.03905120377e-22
5768916	106	3620.148844	58337.8852137	58338.2426915	8.96607501642	58356.2091374	58326.665501	1.17201947497e+14	6.80108459994e-23
5974578	111	3662.64682412	58334.1301057	58332.4686954	15.2864937249	58358.6580962	58312.1200693	1.22430157884e+14	6.15801320672e-23
6200567	113	3699.13247609	58342.6213173	58344.3652723	8.72042224692	58355.6947332	58325.4465871	1.271334185e+14	8.86265203661e-23
6217658	114	3705.17261505	58345.3301425	58345.9322118	15.3781090532	58366.8929878	58318.8067808	1.27131820151e+14	1.20701001372e-22
5847159	108	3715.36343193	58333.3791207	58334.4266654	15.6823166022	58355.5476023	58308.5679108	1.19193214918e+14	6.89948872183e-23
6461504	120	3813.69765997	58343.7653737	58344.3772365	7.4039772378	58354.0052753	58329.2735778	1.29705171644e+14	5.56946847852e-23
6313711	117	3860.37261605	58334.7786714	58334.3848392	11.2326806251	58359.5900868	58322.7821541	1.27892811582e+14	4.17203189715e-23
6241927	115	3863.64697194	58342.086912	58345.404939	14.2258687438	58355.8127557	58313.2973517	1.27309145844e+14	6.01991009845e-23
6648101	122	3939.2514801	58336.5703132	58335.0621859	10.0286087766	58351.5800017	58323.145633	1.31600401666e+14	5.33319059143e-23
7012528	130	4071.37924099	58340.778081	58343.276068	10.2782646577	58352.832855	58323.8483858	1.36582337471e+14	4.9493597471e-23
7015497	131	4119.4940691	58339.6218735	58343.9145123	14.0255898482	58356.2755829	58318.6617005	1.36434577638e+14	9.67796814402e-23
6639703	121	4123.15765309	58345.4425885	58347.9366957	7.72658589672	58358.2270638	58333.0547276	1.31207160556e+14	7.11497762599e-23
6818256	125	4129.83023596	58332.4568389	58330.1999953	11.133552452	58349.3702092	58318.7078105	1.33916888781e+14	4.95017374815e-23
