steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
1526969	8	973.389025927	57387.8251596	57388.9620906	5.30505312403	57395.5110916	57377.4198934	1.84128744298e+13	6.37164791333e-23
1553180	14	977.240611792	57391.2975236	57390.6329061	4.15108414174	57399.2592518	57384.3836845	1.84147344881e+13	6.22020469308e-23
1455094	3	1017.51001787	57390.8462491	57391.4672626	5.13566803592	57398.1522298	57381.5396678	1.84158956427e+13	5.90725019691e-23
1539634	10	1044.32863688	57389.1658473	57388.1344879	4.06480947947	57396.7841043	57382.7489605	1.84226451957e+13	4.56107645962e-23
1547481	12	1050.39337301	57389.8430611	57389.2719777	4.81511764421	57396.8436654	57384.4021645	1.84222486856e+13	4.62242059733e-23
1554544	15	1065.27104592	57390.230695	57391.4958289	5.56865490973	57396.4895816	57378.1402038	1.84155440465e+13	5.88865725602e-23
1389132	1	1140.32526684	57387.7975651	57387.2036591	5.13314218617	57396.8980853	57381.6750037	1.84113572793e+13	6.62533891458e-23
1510859	6	1151.5345099	57387.5016185	57389.3662455	5.67060144005	57394.1572826	57377.5247517	1.84158715002e+13	5.81526450788e-23
1463137	4	1162.94524384	57389.2449718	57389.4028688	4.84969360829	57394.6270568	57380.8985114	1.84222419103e+13	4.78383272653e-23
1541180	11	1172.0463779	57392.8330316	57393.1125244	4.92212282862	57399.7486441	57386.3678467	1.84211209906e+13	5.08039785925e-23
1513451	7	1172.56050897	57391.4390867	57392.653056	4.94739520075	57397.1294976	57382.6724253	1.84174137744e+13	5.55273538068e-23
1441666	2	1177.26853681	57389.0098433	57390.557247	6.63014902218	57397.1465365	57379.3042361	1.84249170767e+13	3.97525346093e-23
1551004	13	1199.21595097	57388.8561607	57388.5330046	5.07497356293	57397.8645242	57381.6179093	1.84087481767e+13	7.32692376476e-23
1489485	5	1207.76475191	57388.5013251	57389.5103907	5.20631409747	57395.2694296	57377.9357024	1.84158445297e+13	6.0278752959e-23
1528455	9	1224.85067487	57393.1562915	57394.0262567	3.33443192947	57396.638228	57386.4945564	1.84011994837e+13	9.37973559996e-23
1600301	25	1235.27484202	57389.6745796	57390.0897119	5.48001414488	57397.3090815	57378.4392868	1.9804780865e+13	5.71352506146e-23
2208392	35	1527.63121986	57390.4616103	57391.6634946	5.77611360397	57399.284755	57379.8242372	3.50472757086e+13	2.36427805891e-23
2200163	34	1560.72122979	57391.1688021	57389.7948391	3.71866175474	57397.444852	57386.1314392	3.50565737336e+13	1.44092590962e-23
2185964	33	1586.74344087	57391.2104509	57392.3693116	5.10798864451	57398.4332918	57383.3180589	3.5051522256e+13	2.32805126802e-23
2317167	37	1682.02005696	57390.3064296	57390.0464246	5.39604906682	57398.1128036	57378.906406	3.94032981195e+13	2.89783328264e-23
2455793	41	1684.0865829	57390.0052489	57392.0191839	6.66513748222	57396.1908635	57373.4465312	4.55587332806e+13	1.78648322891e-23
2327050	38	1691.61771297	57392.1722808	57392.4849971	3.78393769818	57398.9742196	57386.0363032	3.94120289177e+13	3.20738120307e-23
2299581	36	1711.43708992	57390.6925691	57390.5670493	6.21063811516	57397.5719578	57377.0740968	3.81772752384e+13	2.01175234108e-23
2501399	46	1713.23272586	57391.5480059	57391.8042709	3.45577549318	57397.4004418	57385.6361723	4.81510315804e+13	1.8282974358e-23
2368449	39	1748.52372789	57391.1518212	57392.659161	6.92185696985	57399.0456196	57377.8598032	4.18444934345e+13	1.94014967512e-23
3400650	54	2038.28793097	57387.8280537	57391.5043733	9.56206535329	57394.9895767	57362.8091913	6.49018618523e+13	1.96432213055e-23
3237016	50	2048.8954649	57391.6993605	57393.0065117	4.24647646462	57395.9024736	57381.850907	6.21841504248e+13	1.97221137907e-23
3435711	55	2151.28706098	57392.2587555	57392.8161512	4.23466563126	57398.629641	57385.0490096	6.59613945282e+13	2.3689395178e-23
3255644	51	2181.53240299	57390.2172203	57389.5597107	4.27231356128	57399.2472046	57382.7930611	6.21511146984e+13	4.03827748379e-23
3361215	53	2188.14913201	57388.046973	57388.7098201	4.62490626028	57395.0968962	57379.3513393	6.42758928798e+13	2.97572008952e-23
3228405	49	2205.03949285	57391.0897649	57391.0739014	4.78387734195	57399.6342223	57382.6849795	6.21752402061e+13	2.75393532262e-23
3505308	57	2223.27004695	57390.1783453	57389.1491639	5.40760623519	57398.799332	57382.9842967	6.60988508033e+13	1.42417429411e-23
3631817	67	2243.89452481	57392.643165	57392.9673006	3.69165442541	57397.2426754	57385.2395696	7.59114908694e+13	2.08319212994e-23
3304156	52	2249.65192485	57389.5419347	57391.0538016	6.16558025752	57399.4385529	57379.9841119	6.28704999606e+13	2.19789159069e-23
3505220	56	2327.30009198	57390.2966183	57389.8479621	3.62866375558	57396.8800189	57385.6852646	6.60688595712e+13	2.77798186717e-23
3521498	58	2369.05980682	57390.9792685	57391.3125509	1.94757436818	57393.3756801	57388.2213982	6.60881322322e+13	1.99309438854e-23
3823432	71	2448.11957598	57389.9667962	57391.3346115	3.01028810731	57393.0484405	57382.9534614	7.99887483118e+13	2.36425138662e-23
3706739	70	2473.53701401	57390.745722	57391.4509737	4.60877466408	57399.4121306	57382.6499069	7.94158949947e+13	3.09315227778e-23
4318864	74	2602.80568886	57393.3943559	57393.8966562	4.7480070278	57399.3922823	57385.8091142	8.19763157442e+13	2.05026485485e-23
4295909	73	2744.42709899	57392.2085202	57393.1436096	5.32835810808	57399.4857688	57381.2328319	8.19525294265e+13	2.64407335865e-23
4277449	72	2762.87644601	57392.6731114	57393.3868466	4.15023152415	57399.1966833	57384.4230219	8.1928538784e+13	1.52140783461e-23
4375596	75	2788.04667091	57391.5351062	57391.0777599	4.14834355293	57399.5780237	57386.6828339	8.19350257183e+13	3.86948355259e-23
4391879	76	2793.12772083	57390.1735421	57390.3832981	3.01629926257	57394.7787395	57385.3294597	8.19620335526e+13	2.7376688358e-23
4624595	87	2824.81143284	57391.0946304	57393.1608037	6.92457948547	57398.7456637	57377.5477239	9.40437486437e+13	2.22774761898e-23
4512867	79	2858.40682483	57391.0119957	57390.7414315	3.29640599461	57397.9616187	57385.1423168	8.59704300842e+13	1.87971594328e-23
4493286	78	2873.03765988	57389.5581327	57389.9823963	4.75827524028	57395.5038023	57380.7241126	8.50752500244e+13	2.25561829146e-23
4793631	90	3003.53922701	57389.5780062	57389.6483908	5.08032749274	57396.0575504	57382.1294401	9.72399996843e+13	2.23736724876e-23
5263075	92	3172.8447969	57386.615372	57388.6021703	6.49266185387	57396.6019175	57375.8315429	1.00172440806e+14	1.94182886735e-23
5231320	91	3196.15669084	57391.3183214	57392.3550676	6.76699178618	57398.495919	57378.9586867	1.00169656863e+14	2.36825563852e-23
5381266	93	3210.62510085	57391.7713983	57390.9566917	4.78657788353	57397.4370924	57382.0536305	1.00948996666e+14	2.64765032641e-23
5386430	94	3291.68550587	57389.6853179	57389.8149473	3.65990731313	57394.4375803	57384.3702575	1.00987302754e+14	2.27083890674e-23
5441346	97	3291.828403	57389.6578339	57389.1715472	6.41263348084	57397.4810299	57375.2484615	1.00997740648e+14	2.06695097224e-23
5418819	96	3314.29768586	57388.6850901	57389.1675875	4.74012981239	57395.9165426	57381.4618673	1.00989130405e+14	2.19721485417e-23
5600212	103	3322.32247782	57388.6155514	57390.7141484	7.48796212281	57395.3996094	57369.3564993	1.04256149562e+14	2.53489419796e-23
5510516	99	3330.35348988	57391.106927	57391.2264104	4.92385139327	57400.9065339	57382.8507931	1.01595779562e+14	1.4706088009e-23
5399097	95	3334.20371294	57391.7145768	57393.0830058	5.09390298212	57397.6789344	57380.9189053	1.00982624403e+14	2.12533742877e-23
5886334	111	3431.82187486	57389.5770086	57391.1541371	5.50831599303	57396.0376408	57379.4751306	1.14287432069e+14	3.43126170483e-23
6038940	112	3647.55708885	57387.7760547	57387.7935506	6.88021005101	57395.5907033	57378.6843512	1.14308396583e+14	2.81161786799e-23
6085786	113	3703.84962583	57391.9702199	57391.2610671	3.72195465943	57397.6419971	57385.5075087	1.14841798435e+14	1.70299633236e-23
6375557	114	3801.92572093	57390.9388971	57391.1635696	6.24659056952	57400.4438372	57380.5925978	1.15130650896e+14	3.09188813282e-23
6575030	119	3809.95090389	57391.3360699	57391.8550634	4.16091638582	57398.8082172	57382.6524623	1.17483803463e+14	2.32500101436e-23
6563855	118	3822.76724291	57391.6974988	57391.1323645	4.89477201118	57399.5147912	57383.994169	1.17520674592e+14	1.65200529048e-23
6511328	115	3845.37214899	57388.0995008	57388.7526434	8.01219486853	57398.020446	57377.0059014	1.17451055594e+14	2.69588425699e-23
6549335	117	3862.37346196	57389.6337478	57389.6042605	6.57520730769	57401.0152779	57379.7933023	1.17519321696e+14	1.45145515613e-23
6545308	116	3921.79487085	57387.3854051	57388.8523145	4.19803055909	57391.3372115	57379.8446263	1.17488119062e+14	1.53131834864e-23
6727918	129	3954.38287592	57391.5666783	57393.4755953	4.75073959685	57395.9040582	57384.1559798	1.25828544594e+14	2.27211134433e-23
6625055	120	3991.81927586	57394.5478315	57394.1176735	2.81614192561	57398.8188826	57389.5163433	1.18159797322e+14	1.95502690283e-23
6806736	131	4030.85041595	57390.6822534	57389.7444078	3.99664156973	57396.8945622	57383.9315441	1.26621616952e+14	2.87490155733e-23
7017069	133	4124.71680498	57390.3291824	57391.4577185	3.96829452992	57396.415328	57383.0148007	1.28570988738e+14	3.54513275491e-23
7268814	134	4252.71638179	57390.7161362	57391.6149181	4.28454042179	57397.0437712	57383.6834393	1.28618853816e+14	2.42508310338e-23
7348001	135	4321.90886593	57388.9604515	57389.4496479	3.74263165607	57393.8076957	57381.3319388	1.29306718437e+14	3.74402367394e-23
7508156	136	4383.22114182	57391.4409738	57392.8205666	4.59320941663	57396.8461674	57382.844023	1.30130838984e+14	2.1654179124e-23
7655954	143	4389.3626039	57391.0530227	57390.8675278	2.924584282	57395.0851838	57384.4406236	1.34106131377e+14	1.76511590312e-23
7521544	138	4398.65054083	57391.0103892	57391.9800519	7.42111758016	57402.4370202	57377.6293206	1.30079789798e+14	3.63992367501e-23
7578617	139	4422.80922484	57388.1582002	57389.3142987	5.41872836187	57394.8868489	57380.8571176	1.30488715761e+14	3.58963421173e-23
7509871	137	4450.79690599	57389.7076904	57390.3781574	4.11257020111	57397.0777001	57383.1421641	1.30109721587e+14	2.8250104927e-23
7801218	151	4506.6566968	57390.9386917	57394.4316233	6.70778697843	57398.1470853	57380.2861135	1.38518243279e+14	2.40122048121e-23
7706574	146	4568.5000329	57388.71914	57390.2730622	5.24709663499	57394.4963577	57377.9820346	1.35699386224e+14	2.13975211225e-23
