steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
482588	1	343.29168582	20721.6292696	20722.2663508	2.41245956863	20724.7674859	20716.7234142	7.24866854257e+12	1.64667708013e-09
518655	3	355.911881924	20723.6254495	20723.1468864	2.93165621114	20728.0089314	20719.0567725	7.25180840807e+12	1.6211567917e-09
521774	5	386.39436388	20722.4719778	20722.037876	2.54496880301	20726.7730948	20718.6357902	7.28290507033e+12	8.32542717637e-10
499234	2	408.077707767	20723.4454686	20723.519907	1.9402948807	20726.3050806	20719.7308467	7.27546602308e+12	1.03164841082e-09
521459	4	426.129878998	20721.5128176	20725.0245841	5.68253409364	20725.912762	20710.6746489	7.18023347661e+12	1.97528352111e-09
622094	13	427.780231953	20723.0127238	20723.6128457	2.84440684453	20725.4035645	20715.4270149	9.35352695421e+12	1.34392545272e-09
700925	25	506.362191916	20722.9698177	20723.3561137	2.60849239495	20727.5878583	20717.8072979	1.2058414326e+13	1.38265926556e-09
928922	33	530.168821812	20723.2825826	20723.1288523	3.14080177004	20729.0269549	20718.5703761	1.78657050183e+13	6.49661141865e-10
931103	34	532.446835995	20722.7894764	20722.6788384	2.94414137312	20728.1792622	20719.3140166	1.79011051047e+13	5.12359717622e-10
1025245	37	656.335795879	20722.4540268	20724.7912002	5.80391039264	20727.3222527	20707.8020823	1.96559174784e+13	9.4103131819e-10
1102793	41	710.588084936	20723.3693581	20723.4871868	1.57454710358	20725.5573571	20720.3344162	2.21603816626e+13	7.08982620482e-10
1306691	58	736.362883806	20722.4536412	20721.8819519	2.89028228326	20728.2338849	20718.4733268	2.73545173109e+13	4.51273131347e-10
1201637	44	742.472138882	20723.5594117	20723.8228457	1.71789795113	20726.0102013	20721.0720046	2.37747999296e+13	6.32123008889e-10
1511065	62	793.44646287	20723.285	20723.0425876	2.15198019334	20727.1353021	20720.1146094	3.06624568264e+13	5.94868267354e-10
1491427	61	855.987744808	20722.8661147	20723.4088077	2.89174301022	20727.2415496	20718.3590394	3.06255045295e+13	7.51005029808e-10
1709390	70	878.057172775	20724.1970886	20725.156295	3.11472095521	20727.1163822	20716.1969679	3.28661056593e+13	9.00396939256e-10
1628939	66	882.981147766	20722.6024542	20722.4482738	2.61058043725	20726.375656	20717.1868902	3.15158767453e+13	5.76839481498e-10
1800473	77	919.96400094	20723.2995628	20724.1904184	2.82982570342	20726.8604482	20717.2484392	3.46890123109e+13	4.84229500762e-10
1943194	89	988.858839989	20723.084061	20723.6747108	3.76371441051	20727.0358177	20717.1211672	3.9409633319e+13	6.37160243353e-10
2057730	90	1039.40222383	20723.0425889	20722.7994205	3.01607205534	20726.9948499	20717.6733501	3.99026889577e+13	1.03898400562e-09
2144623	91	1110.495013	20723.9638399	20724.8278981	2.38085411394	20726.6516419	20719.4828484	3.99987203877e+13	7.09090761889e-10
2215100	95	1157.30087781	20723.5304686	20723.9252112	3.60974490806	20728.0877476	20716.0415522	4.08383226116e+13	9.50412150479e-10
2300339	101	1206.98503089	20721.7908533	20722.6274369	3.50617561073	20727.001882	20715.9564692	4.25307111486e+13	8.13213966525e-10
2592752	117	1219.52679396	20722.8157816	20723.0369243	2.88557550298	20726.4695462	20717.205292	4.82431299152e+13	4.76233921702e-10
2404259	110	1225.91106176	20724.1842368	20724.3595331	2.96178289099	20727.6826147	20716.9625502	4.50339293209e+13	1.09852429173e-09
2625087	119	1236.39557695	20722.5597892	20723.6089766	4.06016181052	20726.9777095	20713.5028434	4.84779982174e+13	5.358558793e-10
2700903	122	1332.72176099	20723.6031679	20723.9341432	1.8572827146	20725.651782	20719.8104202	4.92327366515e+13	5.69286443171e-10
2833062	126	1362.52762389	20722.8657375	20723.4302831	2.84930500718	20725.8438005	20715.8102127	5.01002117607e+13	8.23007745742e-10
2942223	134	1426.94872999	20722.0133991	20723.0497559	2.4149356561	20724.7066055	20717.7824876	5.24347128521e+13	7.86611837226e-10
3111766	147	1482.50790095	20723.9516598	20724.8269739	2.72986930364	20727.7314654	20719.1436375	5.57001236224e+13	5.95841803702e-10
3020979	139	1489.77686787	20723.5454812	20724.4819035	3.6227301623	20726.7410154	20714.5593545	5.33739611328e+13	6.95688962502e-10
3251551	148	1517.13671088	20722.8002457	20723.7738436	2.45882640965	20725.1790424	20718.6126331	5.6364759989e+13	6.28199514072e-10
3320502	152	1586.32709789	20720.4036695	20722.7845535	6.05092050632	20725.8902606	20709.3936995	5.69383132977e+13	7.81938664527e-10
3505277	160	1631.68715596	20723.6384548	20723.4084871	1.94349799786	20726.1878185	20721.2364397	5.9246287521e+13	6.13399686081e-10
3424574	157	1632.91443682	20723.2417745	20723.3839743	2.73993836891	20726.6014673	20717.8796113	5.84853576526e+13	3.65750784992e-10
3712785	175	1698.24719477	20723.460302	20722.8932263	2.24616082565	20727.6172561	20720.8501786	6.26052828703e+13	6.62759548765e-10
3605129	171	1733.12895179	20723.5587335	20723.8728238	2.29208548905	20726.4070091	20720.7299782	6.07321705006e+13	7.20328349278e-10
3817922	178	1784.19468594	20721.9490192	20723.1874592	3.50411369835	20725.5161927	20714.0422707	6.37097009934e+13	4.47868444531e-10
3926226	183	1839.24077487	20722.8389692	20722.7580695	2.32144398138	20727.0495417	20718.0300475	6.4573369847e+13	4.97517530877e-10
4009160	188	1862.20120597	20722.7890969	20723.885413	3.67747819107	20726.515591	20716.4490485	6.55628987145e+13	6.84558182248e-10
4206295	199	1877.62624598	20723.0261852	20724.0983034	4.00707821478	20726.629538	20712.0618339	6.7863797637e+13	1.13398311078e-09
4103658	191	1880.19927478	20724.290875	20724.1933174	1.80349753112	20726.8348749	20721.9254643	6.65986795792e+13	7.85311001042e-10
4455634	208	2009.92517996	20724.6384106	20724.6553427	2.41438648222	20728.2324644	20719.1247153	7.03136315884e+13	7.22295127051e-10
