steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
521667	4	347.299638033	20380.3798797	20380.7647482	1.16183869591	20381.2991692	20377.3375069	7.16496731245e+12	5.6155677589e-10
531604	5	351.15227294	20380.7635798	20380.8377853	0.592841053804	20381.4398954	20379.9485974	7.14673597722e+12	9.73425647508e-10
505849	2	378.682111025	20381.1824188	20381.3773146	0.616924110899	20381.8928844	20379.8757026	7.16001018918e+12	6.62047285467e-10
496569	1	420.042938948	20380.6560488	20380.4854801	0.855514551986	20381.9374737	20379.4461558	7.14543166613e+12	9.47038345776e-10
518200	3	452.761804819	20381.1841293	20381.1125098	0.709134761951	20382.3973817	20380.3036496	7.14689771446e+12	9.23483871352e-10
603341	11	498.988291025	20381.1539023	20381.2281823	0.508810258277	20381.8534735	20380.0982081	7.89728627269e+12	9.21606238097e-10
703062	28	519.848707914	20380.6672988	20380.720769	0.805311369256	20382.0389446	20379.0977939	1.1682246981e+13	6.57154307373e-10
882147	33	521.82356286	20380.7043216	20380.8221757	0.678499273433	20381.5567918	20379.3677422	1.73437405016e+13	3.4569497446e-10
915811	36	535.345153809	20380.7624582	20380.8098767	0.504405431744	20381.4969298	20379.9835548	1.78031433083e+13	4.19220665496e-10
1008776	37	597.015964985	20380.9558261	20380.8740878	0.801689012091	20382.2274289	20379.4376863	1.93932666431e+13	5.7519279313e-10
1126454	39	712.336134911	20381.128142	20381.2183185	0.608233409574	20382.0445139	20380.2319256	2.07754378928e+13	4.30656653187e-10
1356557	58	725.143610954	20380.9605211	20381.0424905	1.09039660452	20382.0608015	20378.2855431	2.82627630896e+13	2.5951476425e-10
1208506	46	740.156294823	20381.0358412	20380.9474768	0.882760463793	20382.6178375	20379.7116475	2.2951324904e+13	4.85429199179e-10
1427276	60	800.084471941	20380.4983629	20380.522039	0.663897729444	20381.681701	20379.585662	2.96779231979e+13	3.56201966473e-10
1625066	65	863.703846931	20380.9755056	20381.0819783	0.608587849784	20381.7830694	20379.8161437	3.14459939144e+13	3.87866863333e-10
1587985	63	874.732357025	20380.5839366	20381.0448878	1.02354516052	20381.8026984	20378.3434359	3.10442715241e+13	3.39797682322e-10
1800148	78	901.265834808	20380.9269229	20380.9005981	0.494770399756	20382.0026215	20380.2546278	3.38250565482e+13	4.35955573016e-10
1713660	70	945.414690018	20380.743242	20380.9344662	0.799668510583	20381.7648309	20379.3642201	3.27026137516e+13	3.04730037276e-10
1926100	88	1043.36129189	20380.9833429	20381.1626226	0.650125795046	20381.8223977	20379.9824053	3.79564127863e+13	2.8336825568e-10
2034934	90	1063.39609599	20380.7918345	20380.8826752	0.837147825118	20381.9765172	20379.3879861	3.89930587436e+13	3.17863457667e-10
2206373	93	1077.30907083	20381.0683381	20381.1588628	0.427884464117	20381.8001355	20380.2730858	3.99838709685e+13	3.35298830482e-10
