steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
554636	3	393.04917407	20380.9654529	20381.0017033	0.845956274901	20382.2758928	20379.8874372	7.17579909234e+12	1.0627111943e-09
601151	12	401.200891972	20381.5571664	20381.7070167	0.599052903873	20382.2156069	20380.1752351	7.47287646275e+12	1.03979276459e-09
544216	2	420.499484062	20381.4813897	20381.5365566	0.368412171203	20382.0430496	20380.8908587	7.19622551423e+12	6.18998803684e-10
557101	4	422.293154001	20381.3500284	20381.4973737	0.503187432005	20381.9406568	20380.5111697	7.19313367377e+12	6.94506875781e-10
559596	5	438.458689928	20381.1123304	20381.380589	0.766187372522	20382.1837713	20379.6890012	7.19091608773e+12	7.00006400212e-10
509138	1	441.841132879	20381.6480184	20381.7804212	0.594017065328	20382.3684538	20380.3707376	7.18720051e+12	8.07130825145e-10
713724	31	521.118347883	20381.2545091	20381.3950995	0.604750908715	20382.0759162	20380.3910588	1.22509581617e+13	5.87079092175e-10
990020	34	612.65326786	20381.2365478	20381.2835234	0.908305451152	20382.206721	20379.3542371	1.68355240424e+13	2.86997091869e-10
955850	33	617.40900588	20381.1992081	20381.1546767	0.619857102799	20382.2049394	20380.1605907	1.6828339678e+13	3.57412561284e-10
1013219	35	642.850904942	20381.1130521	20381.1846681	1.02236342952	20382.5386325	20378.6706641	1.68274707402e+13	3.8707575339e-10
1102454	41	680.867058992	20381.2976868	20381.376914	0.376204769357	20381.9253095	20380.641535	1.88487028616e+13	2.87988825854e-10
1200256	49	695.870965004	20381.2057905	20381.3888022	0.704793676832	20381.7584372	20379.2589949	2.27408356123e+13	4.14810624615e-10
1500776	58	796.804342985	20381.3714114	20381.5250211	0.601332778934	20381.9472938	20379.8890288	2.7306829816e+13	3.36097866098e-10
1538599	59	842.605849981	20381.4132095	20381.6232143	0.845377516253	20382.4685499	20380.0130559	2.73182226465e+13	2.57928626538e-10
1560415	60	861.299184084	20381.4008501	20381.7255943	0.87863794763	20382.4293888	20379.734448	2.72981650065e+13	3.6531218625e-10
1601744	67	879.49446106	20380.7710597	20381.0656014	0.963311849657	20381.8062735	20379.0026916	2.81266027328e+13	2.71828688002e-10
1715688	74	887.785408974	20381.1196129	20381.2717313	0.653734783209	20381.9347373	20379.7352748	3.18129411058e+13	5.85027118255e-10
1820841	82	988.101368904	20381.6467918	20381.522983	0.404254467417	20382.1926779	20381.0610592	3.42291069709e+13	4.49144271064e-10
2021472	85	1011.42422986	20381.3304207	20381.6535019	1.07110683778	20382.6380689	20378.8411918	3.57933308568e+13	3.43738638626e-10
2039189	86	1014.43723893	20381.5215127	20381.514727	0.544474456001	20382.2081362	20380.5174997	3.57972836164e+13	4.30490711673e-10
2127204	91	1057.94813108	20381.3398476	20381.4164491	0.642915900406	20382.1287798	20379.8709228	3.74792851308e+13	3.16521779399e-10
2219117	99	1128.17245197	20380.8181268	20380.6039802	0.587844360976	20382.1136079	20380.304553	3.96134313719e+13	4.48350925306e-10
2410739	110	1183.41510487	20381.1892118	20381.1243134	0.682670359511	20382.2463124	20380.1965934	4.30430328563e+13	4.83253708783e-10
2333557	106	1189.06221795	20381.0424656	20381.1316256	0.755896041743	20382.0999944	20379.8204768	4.22490210802e+13	3.11435791399e-10
2511143	112	1209.64379191	20380.6667975	20380.711564	0.704745233457	20381.5259665	20379.6257651	4.36226501938e+13	3.05835197096e-10
2627746	116	1295.795156	20381.1552696	20381.3141169	0.382498414329	20381.5685795	20380.4286326	4.5141966155e+13	3.84156265499e-10
2741277	123	1307.02583694	20381.2964171	20381.4616396	0.837771285059	20382.1636965	20379.4668069	4.67526719306e+13	2.85077247222e-10
2838882	128	1406.02396393	20381.2749846	20381.3953289	0.453861794032	20381.7775503	20380.422911	4.77445980804e+13	3.66346169092e-10
2907781	135	1426.33555603	20381.1359328	20381.089392	0.557824908933	20382.1294076	20380.3548964	4.91913028364e+13	3.15066935748e-10
3018978	138	1448.47284698	20381.2839725	20381.4021779	0.761572734189	20382.2220682	20379.9218642	5.05285071737e+13	4.75906628585e-10
3124641	142	1485.05092406	20380.9306894	20381.0343164	0.916321527739	20382.1039686	20378.8526437	5.15048625371e+13	3.23566177267e-10
3209047	149	1547.33283901	20381.4901183	20381.562472	0.576741606198	20382.1888117	20380.4296413	5.283110391e+13	3.20230635011e-10
3343021	153	1622.13850999	20381.3322138	20381.5172919	0.719132170223	20382.2759383	20379.9001002	5.44937560643e+13	2.210517532e-10
3424016	158	1640.90909004	20381.3346843	20381.6022428	0.777050776697	20382.2843327	20380.033094	5.53828052717e+13	4.20410742432e-10
3507961	161	1681.94738388	20381.4909773	20381.7194597	0.666264057339	20382.4080744	20380.4203428	5.60789179231e+13	2.45548161611e-10
3612180	167	1712.63534594	20381.0176597	20380.7460019	0.645843715378	20381.9944865	20380.326256	5.76702856233e+13	2.63559880237e-10
3804712	179	1788.51789403	20381.286455	20381.3460723	0.537179891277	20381.9691518	20380.5470412	6.02858367624e+13	3.80383739747e-10
3920512	183	1789.43780088	20381.3727391	20381.3954321	0.60155706276	20382.1306656	20380.2235714	6.14005532845e+13	1.92209608275e-10
3771173	177	1789.955369	20381.7078926	20381.7572842	0.583363667149	20382.5508677	20380.8588515	6.00350590831e+13	4.23745250512e-10
4010261	186	1895.556499	20381.1635618	20381.2780205	0.839576214313	20382.3372287	20379.4213044	6.16840051838e+13	2.76930781261e-10
4206260	201	1900.2039299	20381.33136	20381.2991674	0.478152237283	20382.324747	20380.5569936	6.46086642825e+13	3.08656585224e-10
4104813	192	1914.07079387	20381.3361224	20381.29638	0.538330844333	20382.2028732	20380.532345	6.26471290183e+13	4.12813911118e-10
4385648	206	1986.03727293	20381.4643883	20381.4598769	0.488122862895	20382.0874262	20380.8117601	6.64409060296e+13	2.02029485282e-10
4423193	208	2022.94023395	20381.6457191	20381.7559726	0.49885868807	20382.2659335	20380.7247845	6.65319013634e+13	3.11707584091e-10
4516029	212	2048.5892899	20381.4531834	20381.3416393	0.505039921734	20382.3050873	20380.9130125	6.74309545907e+13	3.42386132834e-10
4622783	216	2137.11560702	20381.4188612	20381.5168484	0.466294934987	20382.0103761	20380.656936	6.83061668062e+13	1.23971283002e-10
4705565	222	2142.13748908	20381.0037266	20381.0872174	0.526093263986	20381.5392853	20380.0570168	6.91004151231e+13	4.6182261394e-10
4815793	231	2161.51006198	20381.6044635	20381.7222313	0.483488415228	20382.17244	20380.5649751	7.11389947277e+13	2.56679935954e-10
4926388	234	2196.72665405	20381.4605911	20381.4384082	0.528293840968	20382.4848266	20380.6730092	7.16433178038e+13	3.20546435157e-10
5008553	237	2264.13507509	20381.0616379	20381.0003661	0.641334966969	20382.2928762	20379.8827199	7.22918471318e+13	2.39810664475e-10
5110923	240	2280.83248806	20381.4816801	20381.4252752	0.592702026112	20382.4101012	20380.408343	7.2979827739e+13	2.6596209526e-10
5204174	247	2309.63037992	20381.3867467	20381.4540584	0.556695363532	20382.4654071	20380.6323823	7.39061399199e+13	3.15055130852e-10
5302772	257	2357.05613708	20381.3031825	20381.2549644	0.552096922295	20381.923834	20380.0525532	7.57316553106e+13	2.06710188342e-10
5425579	259	2477.41949892	20381.3322824	20381.342359	0.579306370471	20382.4130346	20380.468132	7.66997857053e+13	2.95295885274e-10
5516157	262	2500.90248108	20380.9437986	20380.9063493	0.322284201849	20381.4949739	20380.5354365	7.70918983554e+13	3.47664393803e-10
5614807	266	2502.57872295	20381.405832	20381.615768	0.448603778101	20381.94674	20380.730643	7.7853591167e+13	3.16326785056e-10
5704883	271	2531.11463594	20381.172148	20381.2368491	0.764382321029	20382.4640406	20379.9395409	7.85732157128e+13	2.78898092912e-10
