s (0, 0, mpf('0.0011060910162841599801131172300630357571199442628965294770229874253734169035646069465837640258032185370775652980457912279764343937617336761144079045248930232970642001242836535656579786044187422520768005651'), [mpf('-1.0'), mpf('-2.0'), mpf('0.0'), mpf('1.0'), mpf('0.0'), mpf('-3.0'), mpf('1.0'), mpf('-1.0'), mpf('4.0'), mpf('-3.0')])
s (0, 0, mpf('0.0013515895404828525925000512516118463100171002579263205534561401224922472472694902658146890352649645534179384378712389707084715770957984576409021092708166539222249490725335438573777045002517498648408770353'), [mpf('9.0'), mpf('0.0'), mpf('8.0'), mpf('14.0'), mpf('-5.0'), mpf('3.0'), mpf('6.0'), mpf('-6.0'), mpf('-7.0'), mpf('1.0')])
p (0, 0, mpf('0.0000011874518893294608272522056165750644351112797176727250480244536395431871417076733304002894453166666298926709982900734614353343328907570210437883327353040400192263869520199653361807155966250160308915357923'), [0, 0, mpf('-1.0'), 0, mpf('1.0'), mpf('1.0'), 0, mpf('-1.0'), 0, 0])
s (0, 0, mpf('0.0011782259940572157017226382764186615107437723348019408322872520092814203598479784883123289525442956864237542629345333288566988792710892450119412369047875329360042798139148562544352445304347663963447403437'), [0, mpf('-1.0'), mpf('-1.0'), mpf('-1.0'), mpf('1.0'), mpf('2.0'), 0, mpf('-3.0'), 0, mpf('-2.0')])
s (0, 0, mpf('0.0012766460411760208014513120911532557387301712939060808197520570690841244467999989431408426125431903238215390221237087161699562041750159149001936801016446207356029337920725100901981982437996928957259362351'), [0, 0, 0, 0, 0, 0, mpf('-1.0'), 0, 0, mpf('-2.0')])
s (0, 0, mpf('0.0011246026595054678259443417407192944833906034977444217560159318197019753462501300939511284595292165931847370350204440716962713046391194668294624251174678903055418674192689953031681861564169901588305494092'), [mpf('-2.0'), mpf('0.0'), mpf('-1.0'), mpf('-5.0'), mpf('4.0'), mpf('-2.0'), mpf('0.0'), mpf('-1.0'), mpf('2.0'), mpf('-2.0')])
s (0, 0, mpf('0.0010991105496413654316111872360772607327129363539681590876210415540600473396644493590770970780237330562149584045339812398673535889665296079429736553426439683281615837548778417775149247970815803203093868186'), [mpf('-2.0'), 0, mpf('1.0'), mpf('-2.0'), 0, 0, mpf('-1.0'), 0, 0, 0])
s (0, 0, mpf('0.0010357112659539324303436373929116009923954215084456306817800022519621947625601422621124116878546437177381656763479707795281070144458392592418636934040333810777814602422656751664938596783359156316371707902'), [mpf('1.0'), mpf('0.0'), mpf('1.0'), 0, mpf('1.0'), mpf('-1.0'), mpf('0.0'), 0, mpf('2.0'), mpf('-3.0')])
s (0, 0, mpf('0.0016011822426991605622598897501501860897229639020552891383989346232352699843243014460166104157628155169872994533753493237814998232018644765747332180529420917770197341524899671258103232268972583096847082703'), [mpf('-1.0'), mpf('-1.0'), mpf('-3.0'), mpf('-1.0'), mpf('0.0'), mpf('1.0'), mpf('1.0'), mpf('0.0'), mpf('1.0'), mpf('-4.0')])
s (0, 0, mpf('0.001043000650757221240704399268419822411701864766347884254801518865712392722754383238448514370769242541364824574545280029632383640829112350748507527466244610264443016455291434230430636241760532068606340798'), [mpf('-1.0'), 0, mpf('1.0'), mpf('1.0'), 0, mpf('1.0'), 0, mpf('1.0'), mpf('0.0'), mpf('-1.0')])
s (0, 0, mpf('0.0014746256186271240252994529889383766050759745818315590510787647819983381055599375679761815797637450503153418844665080522969895290772481283528048358275379863581468042384635745752656243906756716663565414805'), [mpf('3.0'), mpf('0.0'), mpf('0.0'), mpf('-3.0'), mpf('0.0'), mpf('0.0'), mpf('0.0'), mpf('0.0'), mpf('-2.0'), mpf('-5.0')])
s (0, 0, mpf('0.0011979471370085347705019284353862755181073119931705358910531800314369401585143004286942791777533183485766212082066189924752000731069840017908187100957316846474287523563613490662382985825206269388889019404'), [0, 0, mpf('-1.0'), 0, 0, 0, 0, 0, mpf('1.0'), mpf('-3.0')])
s (0, 0, mpf('0.0013386333030440825721483327557661001778133567500095717114648710379068190103982348285900284200961100700956181808762989273247609677740148085328551202130531585617279045695418150480830316235186752808109482591'), [0, 0, mpf('1.0'), 0, 0, 0, mpf('1.0'), mpf('1.0'), mpf('1.0'), mpf('-4.0')])
s (0, 0, mpf('0.0011879389688514507426312861606920796092067869886110354635058553816062757020856815708289650877333640752541448970029337230730406449328028543289653522597243663983918502024746491152501009983744311083385236276'), [0, 0, 0, 0, mpf('1.0'), mpf('1.0'), 0, mpf('2.0'), mpf('-1.0'), mpf('-2.0')])
s (0, 0, mpf('0.0013459892159902700727728513399140295223274550298906291150197844650448060366311980680997843369872323870473675786821106855291735620569030807333822711903636148542226910604422869946600805645828099549361182635'), [0, 0, mpf('1.0'), mpf('1.0'), 0, 0, mpf('-1.0'), mpf('0.0'), 0, mpf('-2.0')])
s (0, 0, mpf('0.0013351634537558006612291469990679184103755723003087701880611391118346968692724803906475167196628578285144733193712561713040244594001324968349965517086899127036648233884466872563779437167684272098281339817'), [mpf('1.0'), mpf('1.0'), 0, mpf('1.0'), 0, mpf('-1.0'), mpf('-1.0'), mpf('3.0'), 0, mpf('-2.0')])
s (0, 0, mpf('0.001265853787327755443438596619126196795304213415090103502850168616024545773867918191694286791019523195457719596230333919143123777087679221470992564482117522259025361832405032992618452805378612836650630812'), [0, 0, mpf('-1.0'), 0, mpf('2.0'), mpf('2.0'), mpf('1.0'), mpf('-1.0'), 0, mpf('-4.0')])
s (0, 0, mpf('0.0011123553493216226193630894192548874157840094616144917939093125843600960986626790981137334355949564401604656277403024168183811203857611015840935019301335727224444386886804711497146105708616826779549431455'), [mpf('0.0'), mpf('1.0'), 0, mpf('0.0'), 0, 0, mpf('-1.0'), 0, mpf('0.0'), mpf('-2.0')])
s (0, 0, mpf('0.001062544834620733899986992012550845806784723515879986578282399861694376043224173781312264551654364351063078209978536069906714800254809529697676879846563002142745411970238865543690568056947044102950116238'), [mpf('-1.0'), mpf('0.0'), mpf('1.0'), mpf('2.0'), mpf('-1.0'), 0, 0, mpf('0.0'), mpf('-2.0'), mpf('-3.0')])
s (0, 0, mpf('0.0011310018909219185454865829903720630023783709658711060342319563795866606091773370090908776354509210087277600130565067818641833697315541083126255015075704131416105246812108487127642028814366136784992344282'), [mpf('1.0'), mpf('-1.0'), mpf('1.0'), 0, 0, mpf('-1.0'), 0, 0, mpf('-1.0'), mpf('-4.0')])
s (0, 0, mpf('0.0012806741764254618798612587501151734412446917634174653045267446967755952189490210985923955024767911699997179162114352678606942882852994763362466589434608026108071325597839050091975490538912417509604258957'), [mpf('1.0'), mpf('-1.0'), mpf('-1.0'), 0, mpf('-1.0'), mpf('1.0'), 0, mpf('-1.0'), mpf('2.0'), mpf('-2.0')])
s (0, 0, mpf('0.0011405262074896097354921173349884258496920985681883775275046309958341179780546105764416001718054758289191777813069776689617430080168552738670499013578600961624049172615508816459859414154021177795313094771'), [mpf('-2.0'), mpf('0.0'), mpf('-1.0'), mpf('-3.0'), mpf('0.0'), mpf('-1.0'), mpf('-1.0'), mpf('-1.0'), mpf('-2.0'), mpf('-2.0')])
